category_id,model,fold_id,train_end,test_start,test_end,train_size,mape,smape,mae,rmse
43,sarima,0,2016-12-19,2016-12-26,2017-01-16,104,7.255702635746331,6.915674084966778,6.821404382215814,9.020726539568985
43,sarima,1,2017-01-16,2017-01-23,2017-02-13,108,7.455012944294887,7.217690224654333,7.161190502370545,8.080410138693695
43,sarima,2,2017-02-13,2017-02-20,2017-03-13,112,6.329385141296378,6.733247786653224,6.962285106689137,9.801557060410204
43,sarima,3,2017-03-13,2017-03-20,2017-04-10,116,9.319539066938413,8.679915931050472,8.821345059343493,11.00587048505471
43,sarima,4,2017-04-10,2017-04-17,2017-05-08,120,15.075380607681208,16.39410828940821,16.412891201218844,16.97666582938952
43,sarima,5,2017-05-08,2017-05-15,2017-06-05,124,17.167924309491283,15.624498021988078,15.780209239164794,16.792067932868328
43,sarima,6,2017-06-05,2017-06-12,2017-07-03,128,12.169816755685648,13.672539909456823,12.471813319292732,18.587990897411558
43,sarima,7,2017-07-03,2017-07-10,2017-07-31,132,6.421259252821152,6.124844724696092,5.865644723594414,7.133378264939737
9,naive,0,2016-12-19,2016-12-26,2017-01-16,104,13.233126219113633,12.29127648090552,33.5,37.93415347678132
9,naive,1,2017-01-16,2017-01-23,2017-02-13,108,8.776379774677203,8.46983713966023,25.0,25.32785028382788
9,naive,2,2017-02-13,2017-02-20,2017-03-13,112,13.656186410946496,13.449382902602663,37.5,44.553338819890925
9,naive,3,2017-03-13,2017-03-20,2017-04-10,116,8.164835630381264,7.579453274337693,19.5,26.04803255526221
9,naive,4,2017-04-10,2017-04-17,2017-05-08,120,10.249218893547232,9.829236003268171,25.5,26.93510720231126
9,naive,5,2017-05-08,2017-05-15,2017-06-05,124,8.220464632182553,7.632973527080803,18.0,23.90606617576384
9,naive,6,2017-06-05,2017-06-12,2017-07-03,128,13.532978351238883,15.0116188501258,35.0,43.1335136523794
9,naive,7,2017-07-03,2017-07-10,2017-07-31,132,9.410132141092234,10.143718983232127,26.25,33.73054995104586
9,seasonal_naive,0,2016-12-19,2016-12-26,2017-01-16,104,16.316998332161834,16.296902576593958,44.25,45.16912662427734
9,seasonal_naive,1,2017-01-16,2017-01-23,2017-02-13,108,15.091892240474367,16.982404336117607,44.5,53.99073994677235
9,seasonal_naive,2,2017-02-13,2017-02-20,2017-03-13,112,14.723017018011978,15.537766072919254,43.0,51.94227565288221
9,seasonal_naive,3,2017-03-13,2017-03-20,2017-04-10,116,15.935725930129541,15.575066917345662,39.5,44.390314258856066
9,seasonal_naive,4,2017-04-10,2017-04-17,2017-05-08,120,8.216717828525693,8.718265164495575,20.75,24.253865671269807
9,seasonal_naive,5,2017-05-08,2017-05-15,2017-06-05,124,9.622476805484641,9.511381893139777,21.75,26.6786431439082
9,seasonal_naive,6,2017-06-05,2017-06-12,2017-07-03,128,19.94186201853505,18.266685958203297,46.25,48.24157957612914
9,seasonal_naive,7,2017-07-03,2017-07-10,2017-07-31,132,13.32259047551722,13.207595557590379,34.5,37.821951298154886
9,prophet,0,2016-12-19,2016-12-26,2017-01-16,104,11.635222030519305,12.759141711644434,34.74082119049169,44.533639865584675
9,prophet,1,2017-01-16,2017-01-23,2017-02-13,108,16.212887638222043,17.890961013780473,47.895894686321554,52.53599599100895
9,prophet,2,2017-02-13,2017-02-20,2017-03-13,112,13.178830619030556,13.774058228485696,38.32077657660338,49.16806687863999
9,prophet,3,2017-03-13,2017-03-20,2017-04-10,116,5.663274028734287,5.446839187284235,13.593874458776632,17.71961618732313
9,prophet,4,2017-04-10,2017-04-17,2017-05-08,120,9.709322890173528,9.378072126412057,24.289242863687335,25.933426479785595
9,prophet,5,2017-05-08,2017-05-15,2017-06-05,124,17.76940404790337,16.017809517061014,40.19300666973186,43.57591901778478
9,prophet,6,2017-06-05,2017-06-12,2017-07-03,128,13.99737968976586,12.824066410690701,31.656219604349786,35.64387486354777
9,prophet,7,2017-07-03,2017-07-10,2017-07-31,132,11.389721553064856,12.032988588061832,30.837573427956997,35.011864616579906
9,sarima,0,2016-12-19,2016-12-26,2017-01-16,104,17.46774120707372,16.000089350619735,44.4079401573094,49.47337648620681
9,sarima,1,2017-01-16,2017-01-23,2017-02-13,108,30.56681943802923,35.81652505274844,85.08866326095304,102.12677227307613
9,sarima,2,2017-02-13,2017-02-20,2017-03-13,112,17.579960970789767,16.304882660828024,46.42700886842387,47.51571823349762
9,sarima,3,2017-03-13,2017-03-20,2017-04-10,116,15.328275356532561,14.802306519274689,37.612408233523176,47.4136624930792
9,sarima,4,2017-04-10,2017-04-17,2017-05-08,120,10.783328390601177,11.436600630120253,28.296698910124512,31.12913627977352
9,sarima,5,2017-05-08,2017-05-15,2017-06-05,124,12.006639448175797,10.894114015763375,26.4728780021782,33.60392083878448
9,sarima,6,2017-06-05,2017-06-12,2017-07-03,128,15.81368813415229,15.4110774166139,37.6572149399409,42.226058495879386
9,sarima,7,2017-07-03,2017-07-10,2017-07-31,132,14.418022005587861,16.20857529789693,40.119237358511235,51.15178436770766
24,naive,0,2016-12-19,2016-12-26,2017-01-16,104,13.558323168223655,14.254556637215801,63.5,65.71529502330489
24,naive,1,2017-01-16,2017-01-23,2017-02-13,108,6.638888550609091,6.2999891622324835,28.75,35.8503835404867
24,naive,2,2017-02-13,2017-02-20,2017-03-13,112,11.377233019447702,11.561119295865238,55.0,55.48873759602033
24,naive,3,2017-03-13,2017-03-20,2017-04-10,116,5.43705335650698,5.48091018369583,22.5,26.664583251946766
24,naive,4,2017-04-10,2017-04-17,2017-05-08,120,3.300112533252449,3.3154372878288854,13.5,14.45683229480096
24,naive,5,2017-05-08,2017-05-15,2017-06-05,124,8.034099190106817,8.342932574805332,34.75,40.432041749088064
24,naive,6,2017-06-05,2017-06-12,2017-07-03,128,8.76522987459615,9.467906896128785,42.0,55.88828141927429
24,naive,7,2017-07-03,2017-07-10,2017-07-31,132,10.847257342493153,10.966016368334058,46.75,47.92963592601137
24,seasonal_naive,0,2016-12-19,2016-12-26,2017-01-16,104,9.350977627762273,8.878002567568238,39.5,55.2222781130949
24,seasonal_naive,1,2017-01-16,2017-01-23,2017-02-13,108,11.684357269978841,12.081014971630763,52.25,56.597261417846006
24,seasonal_naive,2,2017-02-13,2017-02-20,2017-03-13,112,16.69917524892855,18.992699327533085,86.0,102.85669642760261
24,seasonal_naive,3,2017-03-13,2017-03-20,2017-04-10,116,1.7043417949784991,1.6804998086685408,6.75,8.645808232895291
24,seasonal_naive,4,2017-04-10,2017-04-17,2017-05-08,120,9.239958765481937,8.797941325320076,37.0,45.0166635813895
24,seasonal_naive,5,2017-05-08,2017-05-15,2017-06-05,124,8.841759864871541,8.22537375529922,35.25,46.268239646651786
24,seasonal_naive,6,2017-06-05,2017-06-12,2017-07-03,128,10.631983711464715,11.694161170451077,50.75,70.8078385491324
24,seasonal_naive,7,2017-07-03,2017-07-10,2017-07-31,132,12.566842684107286,11.32267128612637,49.0,64.32340165134303
24,prophet,0,2016-12-19,2016-12-26,2017-01-16,104,11.255088174535079,11.627138074942058,51.64170378740913,55.94908684902908
24,prophet,1,2017-01-16,2017-01-23,2017-02-13,108,4.760756567569873,4.660227943190177,20.74982097622822,25.201357789692576
24,prophet,2,2017-02-13,2017-02-20,2017-03-13,112,12.056160342010058,12.859498788167695,60.98308344287946,65.91897707684663
24,prophet,3,2017-03-13,2017-03-20,2017-04-10,116,14.810044352035867,13.418359007039255,58.68816414972801,68.3783038058617
24,prophet,4,2017-04-10,2017-04-17,2017-05-08,120,6.537782193162772,6.235899561318849,25.991832126806315,31.430897299395337
